date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:05:11	23424/23424	---M--	200	added ('OK')	text/html	etag:%225b80-5e995d310ff55%22	http://drglacus.com.br/js/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/vendor/bootstrap/fonts/glyphicons-halflings-regular-2.html	(from http://drglacus.com.br/js/vendor/bootstrap/css/bootstrap.min.css)
19:05:12	45404/45404	---M--	200	added ('OK')	text/html	etag:%22b15c-5e995d30f6110%22	http://drglacus.com.br/js/vendor/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/vendor/bootstrap/fonts/glyphicons-halflings-regular-3.html	(from http://drglacus.com.br/js/vendor/bootstrap/css/bootstrap.min.css)
19:05:13	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-5e995d30e3039%22	http://drglacus.com.br/js/vendor/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/vendor/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://drglacus.com.br/js/vendor/bootstrap/css/bootstrap.min.css)
19:05:15	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5e995d30993f2%22	http://drglacus.com.br/js/vendor/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/vendor/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://drglacus.com.br/js/vendor/bootstrap/css/bootstrap.min.css)
19:05:15	77160/77160	---M--	200	added ('OK')	text/html	etag:%2212d68-5e995c9702c4e%22	http://drglacus.com.br/fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/drglacis/drglacus.com.br/fonts/font-awesome/fonts/fontawesome-webfont3e6e.html	(from http://drglacus.com.br/fonts/font-awesome/css/font-awesome.min.css)
19:05:17	98024/98024	---M--	200	added ('OK')	text/html	etag:%2217ee8-5e995c965130a%22	http://drglacus.com.br/fonts/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/drglacis/drglacus.com.br/fonts/font-awesome/fonts/fontawesome-webfont3e6e-2.html	(from http://drglacus.com.br/fonts/font-awesome/css/font-awesome.min.css)
19:05:19	110419/110419	---M--	200	added ('OK')	application/javascript	etag:%221af53-5e995d2e5790b%22	http://drglacus.com.br/js/plugins/slider-revolution/js/jquery.themepunch.tools.min.js	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/plugins/slider-revolution/js/jquery.themepunch.tools.min.js	(from http://drglacus.com.br/)
19:05:19	165548/165548	---M--	200	added ('OK')	text/html	etag:%22286ac-5e995c961f9ad%22	http://drglacus.com.br/fonts/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/drglacis/drglacus.com.br/fonts/font-awesome/fonts/fontawesome-webfont3e6e-3.html	(from http://drglacus.com.br/fonts/font-awesome/css/font-awesome.min.css)
19:05:24	109192/109192	---M--	200	added ('OK')	text/html	etag:%221aa88-5ec6f150d09da%22	http://drglacus.com.br/fonts/font-awesome/fonts/Philosopher-Regular.ttf	C:/My%20Web%20Sites/drglacis/drglacus.com.br/fonts/font-awesome/fonts/Philosopher-Regular.html	(from http://drglacus.com.br/css/style.css)
19:05:24	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%226c7db-5e995c963363d%22	http://drglacus.com.br/fonts/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/drglacis/drglacus.com.br/fonts/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from http://drglacus.com.br/fonts/font-awesome/css/font-awesome.min.css)
19:05:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Dec%202022%2022:05:24%20GMT	http://templates.graphicfort.com/plume/images/misc/select-arrows.png	C:/My%20Web%20Sites/drglacis/templates.graphicfort.com/plume/images/misc/select-arrows.2f.delayed	(from http://drglacus.com.br/css/style.css)
19:05:35	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-5e995c95cd49c%22	http://drglacus.com.br/fonts/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/drglacis/drglacus.com.br/fonts/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://drglacus.com.br/fonts/font-awesome/css/font-awesome.min.css)
19:05:35	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-5e995c95cd49c%22	http://drglacus.com.br/fonts/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/drglacis/drglacus.com.br/fonts/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://drglacus.com.br/fonts/font-awesome/css/font-awesome.min.css)
19:05:36	251/251	---M--	200	added ('OK')	image/png	etag:%22fb-55b591f6ce340%22	https://templates.graphicfort.com/plume/images/misc/select-arrows.png	C:/My%20Web%20Sites/drglacis/templates.graphicfort.com/plume/images/misc/select-arrows.png	(from http://drglacus.com.br/css/style.css)
19:05:38	12136/12136	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f68-5e995d34cfaa9%22	http://drglacus.com.br/js/plugins/slider-revolution/fonts/revicons/revicons.eot?5510888	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/plugins/slider-revolution/fonts/revicons/revicons90c6.eot	(from http://drglacus.com.br/js/plugins/slider-revolution/css/settings.css)
19:05:38	7536/7536	---M--	200	added ('OK')	text/html	etag:%221d70-5e995d350bffd%22	http://drglacus.com.br/js/plugins/slider-revolution/fonts/revicons/revicons.woff?5510888	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/plugins/slider-revolution/fonts/revicons/revicons90c6.html	(from http://drglacus.com.br/js/plugins/slider-revolution/css/settings.css)
19:05:39	11968/11968	---M--	200	added ('OK')	text/html	etag:%222ec0-5e995d34efaa3%22	http://drglacus.com.br/js/plugins/slider-revolution/fonts/revicons/revicons.ttf?5510888	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/plugins/slider-revolution/fonts/revicons/revicons90c6-2.html	(from http://drglacus.com.br/js/plugins/slider-revolution/css/settings.css)
19:05:39	13638/13638	---M--	200	added ('OK')	image/svg+xml	etag:%223546-5e995d34e98ee%22	http://drglacus.com.br/js/plugins/slider-revolution/fonts/revicons/revicons.svg?5510888	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/plugins/slider-revolution/fonts/revicons/revicons90c6.svg	(from http://drglacus.com.br/js/plugins/slider-revolution/css/settings.css)
19:05:40	326/326	---M--	200	added ('OK')	text/html	etag:%22146-5e995d2cb5e04%22	http://drglacus.com.br/js/plugins/slider-revolution/css/openhand.cur	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/plugins/slider-revolution/css/openhand.html	(from http://drglacus.com.br/js/plugins/slider-revolution/css/settings.css)
19:05:40	326/326	---M--	200	added ('OK')	text/html	etag:%22146-5e995d2c20632%22	http://drglacus.com.br/js/plugins/slider-revolution/css/closedhand.cur	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/plugins/slider-revolution/css/closedhand.html	(from http://drglacus.com.br/js/plugins/slider-revolution/css/settings.css)
19:05:40	933/933	---M--	200	added ('OK')	image/png	etag:%223a5-5e995d2affab3%22	http://drglacus.com.br/js/plugins/slider-revolution/assets/gridtile.png	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/plugins/slider-revolution/assets/gridtile.png	(from http://drglacus.com.br/js/plugins/slider-revolution/css/settings.css)
19:05:41	951/951	---M--	200	added ('OK')	image/png	etag:%223b7-5e995d2b33f0e%22	http://drglacus.com.br/js/plugins/slider-revolution/assets/gridtile_white.png	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/plugins/slider-revolution/assets/gridtile_white.png	(from http://drglacus.com.br/js/plugins/slider-revolution/css/settings.css)
19:05:41	938/938	---M--	200	added ('OK')	image/png	etag:%223aa-5e995d2b38d38%22	http://drglacus.com.br/js/plugins/slider-revolution/assets/gridtile_3x3.png	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/plugins/slider-revolution/assets/gridtile_3x3.png	(from http://drglacus.com.br/js/plugins/slider-revolution/css/settings.css)
19:05:41	935/935	---M--	200	added ('OK')	image/png	etag:%223a7-5e995d2b12f73%22	http://drglacus.com.br/js/plugins/slider-revolution/assets/gridtile_3x3_white.png	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/plugins/slider-revolution/assets/gridtile_3x3_white.png	(from http://drglacus.com.br/js/plugins/slider-revolution/css/settings.css)
19:05:41	184/184	---M--	200	added ('OK')	image/png	etag:%22b8-5e995d2af1806%22	http://drglacus.com.br/js/plugins/slider-revolution/assets/coloredbg.png	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/plugins/slider-revolution/assets/coloredbg.png	(from http://drglacus.com.br/js/plugins/slider-revolution/css/settings.css)
19:05:42	2545/2545	---M--	200	added ('OK')	image/gif	etag:%229f1-5e995d2b4d582%22	http://drglacus.com.br/js/plugins/slider-revolution/assets/loader.gif	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/plugins/slider-revolution/assets/loader.gif	(from http://drglacus.com.br/js/plugins/slider-revolution/css/settings.css)
19:05:53	259140/259140	UR-M--	200	added ('Partial%20Content')	image/png	etag:%223f444-5ec6f60a764b2%22	http://drglacus.com.br/images/index/dentist/003.png	C:/My%20Web%20Sites/drglacis/drglacus.com.br/images/index/dentist/003.png	(from http://drglacus.com.br/)
19:05:53	255371/255371	UR-M--	200	added ('Partial%20Content')	image/png	etag:%223e58b-5ec6f60b0711a%22	http://drglacus.com.br/images/index/dentist/002.png	C:/My%20Web%20Sites/drglacis/drglacus.com.br/images/index/dentist/002.png	(from http://drglacus.com.br/)
19:05:53	256519/256519	UR-M--	200	added ('Partial%20Content')	image/png	etag:%223ea07-5ec6f609da882%22	http://drglacus.com.br/images/index/dentist/004.png	C:/My%20Web%20Sites/drglacis/drglacus.com.br/images/index/dentist/004.png	(from http://drglacus.com.br/)
